order	family	genus_all	species	taxa	lifespan_l1yr	lifespan_g1yr	gen_less	gen_equa	gen_grea	stage_egg	stage_larv	stage_nymp	stage_adul	rep_ovov	rep_isol	rep_isol.1	rep_clut	rep_clut.1	rep_clut.2	rep_clut.3	rep_asex	disp_aq_pas	disp_aq_act	disp_aer_pas	disp_aer_act	resist_eggs	resist_coco	resist_hous	resist_diap	resist_none	resp_tegu	resp_gill	resp_plas	resp_spir	resp_hydr
Trichoptera	HYDROPTILIDAE	Hydroptila	sp.	Hydroptila	3	0	0	2	3	3	3	3	0	0	0	0	3	0	0	0	0	1	1	2	1	0	0	0	0	3	3	1	0	0	0
Trichoptera	HYDROPTILIDAE	Oxyethira	sp.	Oxyethira	3	0	0	1	3	3	3	3	0	0	0	0	3	0	0	0	0	1	1	2	1	0	0	0	0	3	3	0	0	0	0
		Leuctridae			3	0.495327103	0.495327103	3	0	3	3	0	0	0	0	1.5	0	1.5	0	0	0	2.004672897	2	0	1	0.495327103	0	0	1.5	1.5	3	0	0	0	0
Trichoptera	LIMNEPHILIDAE	Anabolia	sp.	Anabolia	3	0	0	3	0	3	3	3	0	0	0	0	3	0	0	0	0	3	2	0	3	0	0	0	3	1	2	3	0	0	0
		Limnephilus			3	0	0	3	0	3	3	3	0	0	0	0	3	0	0	1	0	0	1	0	2	2	0	0	0	2	2	2	0	0	0
		Stenophylax			3	0	0	3	0	3	3	3	0	0	0	0	3	0	0	0	0	0	1	0	3	0	0	0	2	1	2	2	0	0	0
		Hexatoma			1	0	0	3	1	2	2	0	0	0	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	2	0	0	0	3	0
		Hilara			3	0	0	3	2	0	3	3	0	0	0	0	0	0	0	2	0	1	1	0	2	0	0	0	0	0	1	0	0	1	0
		Nemouridae			2.75	0.75	0.75	2.75	0	3	3	0	0	0	0	2.75	0.75	0	0	0	0	2.25	2	0	1.25	0.5	0	0	1.25	2.5	3	1	0	0	0
		Perlidae			0	3	3	0	0	3	3	0	0	0	0	3	0	0.5	0	0	0	1	2	0	1	1	0	0	0.5	2.25	1.5	1.5	0	0	0
		Perlodidae			0.857142857	2.571428571	2	1.857142857	0	3	3	0	0	0	0	1.142857143	1	1	0	0	0	1.285714286	2	0	1.142857143	1.571428571	0	0	0.428571429	1.857142857	3	0	0	0	0
Diptera	PSYCHODIDAE	Psychodidae	Gen. sp.	Psychodidae	3	0	0	1	3	2	2	2	0	1	0	1	3	0	0	0	0	3	1	0	1	0	0	0	0	3	0	0	0	3	0
		Sericostomatidae			1.5	0.25	0.5	1	0.75	3	3	3	0	0	0	0	3	0	0	0	0	2	1	1	1	0	0	0	0.25	1.5	2	2	0	0	0
		Sphaeriidae			1.5	3	0	3	3	3	3	0	3	3	0	0	0	0	0	0	0	2	1	1	0	0.5	0	0	1	0	1	3	0	0	0
		Hydracarina			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
		Ostracoda			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Coleoptera	HYDROPHILIDAE	Anacaena	sp. Ad. / Lv.	Anacaena	1	3	0	3	1	3	3	0	2	0	0	0	3	0	0	0	0	0	1	0	3	0	0	0	0	3	1	0	1	3	0
Trichoptera	ECNOMIDAE	Ecnomus	sp.	Ecnomus	3	0	0	3	1	3	3	3	0	0	0	2	0	0	0	0	0	1	1	1	1	0	0	0	0	3	3	0	0	0	0
Trichoptera	HELICOPSYCHIDAE	Helicopsyche	sp.	Helicopsyche	3	0	0	3	0	1	3	3	0	0	0	2	2	0	0	0	0	0	0	1	1	1	0	0	1	3	3	0	0	0	0
		Hydrophilidae_Ad			1	3	0	3	1	3	3	0	2	0	0	0	2	0	0	0	0	0	1	0	3	0	0	0	0	3	1	0	1	3	0
		Dytiscidae_Ad			1	3	0	2	2	3	3	0	2	0	0	0	2	0	1	0	0	1	1	0	3	0	0	0	0	3	1	0	0	3	0
		Gyrinidae_Ad			1	3	0	3	0	3	3	0	2	0	0	0	3	0	0	0	0	0	2	0	3	0	0	0	0	3	1	3	0	3	0
		Haliplidae_Ad			1	3	0	1	3	3	3	0	2	0	0	0	2	0	1	0	0	1	1	0	3	0	0	0	0	3	3	1	0	3	0
		Scirtidae			1	3	0	3	0	3	3	0	0	0	0	0	0	0	0	3	0	0	1	0	3	0	0	0	0	3	1	3	0	0	0
		Hydraenidae_larvae			1	3	0	2.25	1.75	0	0.5	0	3	0	0	0	0	0	0	3	0	1.75	0.75	0	2.75	0	0	0	0	3	0	0	3	0	0
		Elmis_larvae			1	3	0	3	0	3	3	0	2	0	0	0	3	0	0	0	0	2	1	0	2	0	0	0	0	3	1	3	3	0	0
